wordform,sum_freq,norm_freq,log_freq,sqrt_freq,Moby_pron,Rep_P,Rep_O
oft,324,0.72,0.05,18,/O/ft,_/_/_/a/f/t/_/,_/_/_/o/f/t/_/_/
oh,121717,270.4822222,0.512689355,100,/oU/,_/_/_/o/_/_/_/,_/_/_/o/h/_/_/_/
oil,86340,191.8666667,0.481409828,100,/Oi/l,_/_/_/O/l/_/_/,_/_/_/o/i/l/_/_/
oke,20,0.044444444,0.05,4.472135955,/oU/k,_/_/_/o/k/_/_/,_/_/_/o/k/e/_/_/
old,206861,459.6911111,0.561071062,100,/oU/ld,_/_/_/o/l/d/_/,_/_/_/o/l/d/_/_/
on,3144416,6987.591111,0.809855002,100,/A/n,_/_/_/a/n/_/_/,_/_/_/o/n/_/_/_/
once,181488,403.3066667,0.549126926,100,w/@/ns,_/_/w/^/n/s/_/,_/_/_/o/n/c/e/_/
one,1300648,2890.328889,0.729111091,100,w/@/n,_/_/w/^/n/_/_/,_/_/_/o/n/e/_/_/
oomph,286,0.635555556,0.05,16.91153453,/U/mf,_/_/_/U/m/f/_/,_/_/_/o/o/m/p/h/
oops,963,2.14,0.104682667,31.0322413,/U/ps,_/_/_/u/p/s/_/,_/_/_/o/o/p/s/_/
ooze,496,1.102222222,0.067975133,22.27105745,/u/z,_/_/_/u/z/_/_/,_/_/_/o/o/z/e/_/
op,991,2.202222222,0.106477865,31.48015248,/A/p,_/_/_/a/p/_/_/,_/_/_/o/p/_/_/_/
ops,733,1.628888889,0.088428768,27.07397274,/A/ps,_/_/_/a/p/s/_/,_/_/_/o/p/s/_/_/
opt,2747,6.104444444,0.179382423,52.41183073,/A/pt,_/_/_/a/p/t/_/,_/_/_/o/p/t/_/_/
or,1574827,3499.615556,0.746605667,100,/@/r,_/_/_/o/r/_/_/,_/_/_/o/r/_/_/_/
orb,371,0.824444444,0.055009502,19.26136028,/O/rb,_/_/_/o/r/b/_/,_/_/_/o/r/b/_/_/
ouch,823,1.828888889,0.09513692,28.68797658,/AU/tS/,_/_/_/A/C/_/_/,_/_/_/o/u/c/h/_/
oud,34,0.075555556,0.05,5.830951895,/u/d,_/_/_/u/d/_/_/,_/_/_/o/u/d/_/_/
ought,23394,51.98666667,0.363211089,100,/O/t,_/_/_/a/t/_/_/,_/_/_/o/u/g/h/t/
ounce,2508,5.573333333,0.17227385,50.0799361,/AU/ns,_/_/_/A/n/s/_/,_/_/_/o/u/n/c/e/
our,610183,1355.962222,0.659903368,100,/AU/r,_/_/_/A/r/_/_/,_/_/_/o/u/r/_/_/
ours,7329,16.28666667,0.260734928,85.6095789,/AU/rz,_/_/_/A/r/z/_/,_/_/_/o/u/r/s/_/
oust,659,1.464444444,0.082519112,25.67099531,/AU/st,_/_/_/A/s/t/_/,_/_/_/o/u/s/t/_/
out,1050255,2333.9,0.709555789,100,/AU/t,_/_/_/A/t/_/_/,_/_/_/o/u/t/_/_/
owe,5388,11.97333333,0.234474253,73.40299721,/oU/,_/_/_/o/_/_/_/,_/_/_/o/w/e/_/_/
owl,2765,6.144444444,0.179896082,52.5832673,/AU/l,_/_/_/A/l/_/_/,_/_/_/o/w/l/_/_/
own,285171,633.7133333,0.590388,100,/oU/n,_/_/_/o/n/_/_/,_/_/_/o/w/n/_/_/
