wordform,sum_freq,norm_freq,log_freq,Moby_pron,Rep_P,Rep_O,sqrt_freq
wrist,9421,20.93555556,0.282524935,r/I/st,_/_/r/I/s/t/_/,_/w/r/i/s/t/_/_/,97.06183596
budge,1426,3.168888889,0.130612817,b/@/dZ/,_/_/b/^/J/_/_/,_/_/b/u/d/g/e/_/,37.76241518
whilst,526,1.168888889,0.07083139,w/aI/lst,_/_/w/Y/l/s/t/,_/w/h/i/l/s/t/_/,22.93468988
hemp,879,1.953333333,0.099075521,h/E/mp,_/_/h/E/m/p/_/,_/_/h/e/m/p/_/_/,29.64793416
glen,306,0.68,0.05,gl/E/n,_/g/l/E/n/_/_/,_/g/l/e/n/_/_/_/,17.49285568
glee,1284,2.853333333,0.123411706,gl/i/,_/g/l/i/_/_/_/,_/g/l/e/e/_/_/_/,35.83294573
oud,34,0.075555556,0.05,/u/d,_/_/_/u/d/_/_/,_/_/_/o/u/d/_/_/,5.830951895
our,610183,1355.962222,0.659903368,/AU/r,_/_/_/A/r/_/_/,_/_/_/o/u/r/_/_/,781.1421126
out,1051621,2336.935556,0.709674653,/AU/t,_/_/_/A/t/_/_/,_/_/_/o/u/t/_/_/,1000
blues,9143,20.31777778,0.279911352,bl/u/z,_/b/l/u/z/_/_/,_/b/l/u/e/s/_/_/,95.61903576
hence,9407,20.90444444,0.282395086,h/E/ns,_/_/h/E/n/s/_/,_/_/h/e/n/c/e/_/,96.98969017
clip,21544,47.87555556,0.35582225,kl/I/p,_/k/l/I/p/_/_/,_/c/l/i/p/_/_/_/,146.7787451
fowl,599,1.331111111,0.077430422,f/AU/l,_/_/f/A/l/_/_/,_/_/f/o/w/l/_/_/,24.4744765
linked,1048,2.328888889,0.110027011,l/I/N/kt,_/_/l/I/G/k/t/,_/_/l/i/n/k/e/d/,32.37282811
bough,715,1.588888889,0.087026029,b/AU/,_/_/b/A/_/_/_/,_/_/b/o/u/g/h/_/,26.73948391
who,1167096,2593.546667,0.719202536,h/u/,_/_/h/u/_/_/_/,_/w/h/o/_/_/_/_/,1000
why,272731,606.0688889,0.586313931,w/aI/,_/_/w/Y/_/_/_/,_/w/h/y/_/_/_/_/,522.2365364
pipe,13333,29.62888889,0.313066816,p/aI/p,_/_/p/Y/p/_/_/,_/_/p/i/p/e/_/_/,115.4686105
marge,24,0.053333333,0.05,m/A/r/dZ/,_/_/m/a/r/J/_/,_/_/m/a/r/g/e/_/,4.898979486
fear,70494,156.6533333,0.462965793,f/i/r,_/_/f/i/r/_/_/,_/_/f/e/a/r/_/_/,265.5070621
feat,3052,6.782222222,0.187718936,f/i/t,_/_/f/i/t/_/_/,_/_/f/e/a/t/_/_/,55.24490927
cube,5121,11.38,0.23019136,k/j/u/b,_/_/k/W/b/_/_/,_/_/c/u/b/e/_/_/,71.56116265
skimp,324,0.72,0.05,sk/I/mp,_/s/k/I/m/p/_/,_/s/k/i/m/p/_/_/,18
crude,5894,13.09777778,0.242078847,kr/u/d,_/k/r/u/d/_/_/,_/c/r/u/d/e/_/_/,76.77239087
joy,12953,28.78444444,0.31050905,/dZ/Oi/,_/_/J/O/_/_/_/,_/_/j/o/y/_/_/_/,113.8112472
